,surprise_median_fa,surprise_mean_fa,TICKER,year,quarternum,Skew,Kurtosis,delta_return,Y
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
"('2007', 3)",0.703994111802974,1.2068470488050982,AMGN,2007,3,1.076010878252603,0.78,-0.03320000000000001,0
"('2007', 3)",0.703994111802974,1.2068470488050982,AMGN,2007,3,1.076010878252603,0.78,-0.03320000000000001,0
"('2007', 3)",0.703994111802974,1.2068470488050982,AMGN,2007,3,1.076010878252603,0.78,-0.03320000000000001,0
"('2007', 3)",0.703994111802974,1.2068470488050982,AMGN,2007,3,1.076010878252603,0.78,-0.03320000000000001,0
"('2007', 3)",0.703994111802974,1.2068470488050982,AMGN,2007,3,1.076010878252603,0.78,-0.03320000000000001,0
"('2007', 3)",0.703994111802974,1.2068470488050982,AMGN,2007,3,1.076010878252603,0.78,-0.03320000000000001,0
"('2007', 3)",0.703994111802974,1.2068470488050982,AMGN,2007,3,1.076010878252603,0.78,-0.03320000000000001,0
"('2008', 0)",-0.5939887041393609,-0.7127864449672362,AMGN,2008,0,-0.025106920492561316,1.025,0.0132000000000001,0
"('2008', 0)",-0.5939887041393609,-0.7127864449672362,AMGN,2008,0,-0.025106920492561316,1.025,0.0132000000000001,0
"('2008', 0)",-0.5939887041393609,-0.7127864449672362,AMGN,2008,0,-0.025106920492561316,1.025,0.0132000000000001,0
"('2008', 0)",-0.5939887041393609,-0.7127864449672362,AMGN,2008,0,-0.025106920492561316,1.025,0.0132000000000001,0
"('2008', 0)",-0.5939887041393609,-0.7127864449672362,AMGN,2008,0,-0.025106920492561316,1.025,0.0132000000000001,0
"('2008', 0)",-0.5939887041393609,-0.7127864449672362,AMGN,2008,0,-0.025106920492561316,1.025,0.0132000000000001,0
"('2008', 0)",-0.5939887041393609,-0.7127864449672362,AMGN,2008,0,-0.025106920492561316,1.025,0.0132000000000001,0
"('2008', 0)",-0.5939887041393609,-0.7127864449672362,AMGN,2008,0,-0.025106920492561316,1.025,0.0132000000000001,0
"('2008', 1)",4.590780850487673,4.459615683330882,AMGN,2008,1,-0.020085536394048607,0.98,-0.009000000000000008,0
"('2008', 1)",4.590780850487673,4.459615683330882,AMGN,2008,1,-0.020085536394048607,0.98,-0.009000000000000008,0
"('2008', 1)",4.590780850487673,4.459615683330882,AMGN,2008,1,-0.020085536394048607,0.98,-0.009000000000000008,0
"('2008', 1)",4.590780850487673,4.459615683330882,AMGN,2008,1,-0.020085536394048607,0.98,-0.009000000000000008,0
"('2008', 1)",4.590780850487673,4.459615683330882,AMGN,2008,1,-0.020085536394048607,0.98,-0.009000000000000008,0
"('2008', 2)",4.472135954999569,4.323064756499579,AMGN,2008,2,-0.016737946995040876,1.04,0.05840000000000001,0
"('2008', 2)",4.472135954999569,4.323064756499579,AMGN,2008,2,-0.016737946995040876,1.04,0.05840000000000001,0
"('2008', 2)",4.472135954999569,4.323064756499579,AMGN,2008,2,-0.016737946995040876,1.04,0.05840000000000001,0
"('2008', 2)",4.472135954999569,4.323064756499579,AMGN,2008,2,-0.016737946995040876,1.04,0.05840000000000001,0
"('2008', 2)",4.472135954999569,4.323064756499579,AMGN,2008,2,-0.016737946995040876,1.04,0.05840000000000001,0
"('2008', 2)",4.472135954999569,4.323064756499579,AMGN,2008,2,-0.016737946995040876,1.04,0.05840000000000001,0
"('2008', 2)",4.472135954999569,4.323064756499579,AMGN,2008,2,-0.016737946995040876,1.04,0.05840000000000001,0
"('2008', 2)",4.472135954999569,4.323064756499579,AMGN,2008,2,-0.016737946995040876,1.04,0.05840000000000001,0
"('2008', 2)",4.472135954999569,4.323064756499579,AMGN,2008,2,-0.016737946995040876,1.04,0.05840000000000001,0
"('2008', 3)",5.120816369540782,5.4352524624073215,AMGN,2008,3,0.05858281448264195,1.04,0.1956,0
"('2008', 3)",5.120816369540782,5.4352524624073215,AMGN,2008,3,0.05858281448264195,1.04,0.1956,0
"('2008', 3)",5.120816369540782,5.4352524624073215,AMGN,2008,3,0.05858281448264195,1.04,0.1956,0
"('2008', 3)",5.120816369540782,5.4352524624073215,AMGN,2008,3,0.05858281448264195,1.04,0.1956,0
"('2008', 3)",5.120816369540782,5.4352524624073215,AMGN,2008,3,0.05858281448264195,1.04,0.1956,0
"('2008', 3)",5.120816369540782,5.4352524624073215,AMGN,2008,3,0.05858281448264195,1.04,0.1956,0
"('2009', 0)",-6.0000000000000036,-5.83333333333334,AMGN,2009,0,0.0125534602462801,1.15,0.0795999999999999,0
"('2009', 0)",-6.0000000000000036,-5.83333333333334,AMGN,2009,0,0.0125534602462801,1.15,0.0795999999999999,0
"('2009', 0)",-6.0000000000000036,-5.83333333333334,AMGN,2009,0,0.0125534602462801,1.15,0.0795999999999999,0
"('2009', 0)",-6.0000000000000036,-5.83333333333334,AMGN,2009,0,0.0125534602462801,1.15,0.0795999999999999,0
"('2009', 1)",-2.8284271247462374,-2.8284271247462374,AMGN,2009,1,0.0,1.12,0.005600000000000049,0
"('2009', 1)",-2.8284271247462374,-2.8284271247462374,AMGN,2009,1,0.0,1.12,0.005600000000000049,0
"('2009', 2)",9.192388155425204,9.192388155425204,AMGN,2009,2,0.0,1.225,0.00770000000000004,0
"('2009', 2)",9.192388155425204,9.192388155425204,AMGN,2009,2,0.0,1.225,0.00770000000000004,0
"('2009', 3)",2.7244821251673303,3.138603408192765,AMGN,2009,3,0.19081259574346177,1.24,-0.12260000000000004,1
"('2009', 3)",2.7244821251673303,3.138603408192765,AMGN,2009,3,0.19081259574346177,1.24,-0.12260000000000004,1
"('2009', 3)",2.7244821251673303,3.138603408192765,AMGN,2009,3,0.19081259574346177,1.24,-0.12260000000000004,1
"('2009', 3)",2.7244821251673303,3.138603408192765,AMGN,2009,3,0.19081259574346177,1.24,-0.12260000000000004,1
"('2009', 3)",2.7244821251673303,3.138603408192765,AMGN,2009,3,0.19081259574346177,1.24,-0.12260000000000004,1
"('2010', 0)",,,AMGN,2010,0,0.0,1.17,0.031400000000000095,0
"('2010', 3)",6.72538245981365,7.045638767423826,AMGN,2010,3,0.0669517879801624,1.08,-0.04590000000000005,1
"('2010', 3)",6.72538245981365,7.045638767423826,AMGN,2010,3,0.0669517879801624,1.08,-0.04590000000000005,1
"('2010', 3)",6.72538245981365,7.045638767423826,AMGN,2010,3,0.0669517879801624,1.08,-0.04590000000000005,1
"('2011', 0)",-5.165676192553673,-4.966996338993912,AMGN,2011,0,0.025106920492561316,1.3,-0.042100000000000026,1
"('2011', 0)",-5.165676192553673,-4.966996338993912,AMGN,2011,0,0.025106920492561316,1.3,-0.042100000000000026,1
"('2011', 0)",-5.165676192553673,-4.966996338993912,AMGN,2011,0,0.025106920492561316,1.3,-0.042100000000000026,1
"('2011', 0)",-5.165676192553673,-4.966996338993912,AMGN,2011,0,0.025106920492561316,1.3,-0.042100000000000026,1
"('2012', 0)",,,AMGN,2012,0,0.0,1.46,-0.018199999999999994,1
"('2012', 1)",,,AMGN,2012,1,0.0,1.56,0.030200000000000005,1
"('2012', 3)",5.839971160707448,5.4073807043587445,AMGN,2012,3,-0.0669517879801624,1.49,-0.00029999999999996696,0
"('2012', 3)",5.839971160707448,5.4073807043587445,AMGN,2012,3,-0.0669517879801624,1.49,-0.00029999999999996696,0
"('2012', 3)",5.839971160707448,5.4073807043587445,AMGN,2012,3,-0.0669517879801624,1.49,-0.00029999999999996696,0
"('2012', 3)",5.839971160707448,5.4073807043587445,AMGN,2012,3,-0.0669517879801624,1.49,-0.00029999999999996696,0
"('2012', 3)",5.839971160707448,5.4073807043587445,AMGN,2012,3,-0.0669517879801624,1.49,-0.00029999999999996696,0
"('2012', 3)",5.839971160707448,5.4073807043587445,AMGN,2012,3,-0.0669517879801624,1.49,-0.00029999999999996696,0
"('2012', 3)",5.839971160707448,5.4073807043587445,AMGN,2012,3,-0.0669517879801624,1.49,-0.00029999999999996696,0
"('2012', 3)",5.839971160707448,5.4073807043587445,AMGN,2012,3,-0.0669517879801624,1.49,-0.00029999999999996696,0
"('2012', 3)",5.839971160707448,5.4073807043587445,AMGN,2012,3,-0.0669517879801624,1.49,-0.00029999999999996696,0
"('2013', 0)",-3.7712361663282534,-3.7712361663282534,AMGN,2013,0,0.0,1.56,0.04239999999999999,1
"('2013', 0)",-3.7712361663282534,-3.7712361663282534,AMGN,2013,0,0.0,1.56,0.04239999999999999,1
"('2013', 1)",,,AMGN,2013,1,0.0,1.68,-0.0736,1
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 2)",0.9313410772237171,0.6108146025947743,AMGN,2013,2,-0.241939415655586,1.75,-0.030000000000000027,0
"('2013', 3)",,,AMGN,2013,3,0.0,1.7,-0.009199999999999986,0
"('2015', 0)",,,AMGN,2015,0,0.0,2.15,-0.03979999999999995,0
"('2016', 0)",,,AMGN,2016,0,0.0,2.377,-0.0464,1
"('2016', 3)",,,AMGN,2016,3,0.0,2.45,-0.05610000000000004,0
"('1999', 3)",,,ANDW,1999,3,0.0,0.18,0.0492999999999999,0
"('2000', 2)",,,ANDW,2000,2,0.0,0.28,-0.18120000000000003,1
"('2001', 0)",0.577350269189626,1.1547005383792517,ANDW,2001,0,0.20085536394048578,0.22,-0.22599999999999998,1
"('2001', 0)",0.577350269189626,1.1547005383792517,ANDW,2001,0,0.20085536394048578,0.22,-0.22599999999999998,1
"('2001', 0)",0.577350269189626,1.1547005383792517,ANDW,2001,0,0.20085536394048578,0.22,-0.22599999999999998,1
"('2001', 1)",,,ANDW,2001,1,0.0,0.14,-0.03810000000000002,1
"('2002', 3)",,,ANDW,2002,3,0.0,0.02,0.2997000000000001,1
"('2003', 0)",,,ANDW,2003,0,0.0,-0.05,-0.14959999999999996,1
"('2003', 1)",-inf,-inf,ANDW,2003,1,0.0,0.0,0.16569999999999996,1
"('2003', 1)",-inf,-inf,ANDW,2003,1,0.0,0.0,0.16569999999999996,1
"('2003', 2)",0.866025403784438,1.4433756729740639,ANDW,2003,2,0.06695178798016198,0.07,-0.031100000000000017,0
"('2003', 2)",0.866025403784438,1.4433756729740639,ANDW,2003,2,0.06695178798016198,0.07,-0.031100000000000017,0
"('2003', 2)",0.866025403784438,1.4433756729740639,ANDW,2003,2,0.06695178798016198,0.07,-0.031100000000000017,0
"('2003', 3)",1.6044165738276583,1.6638394098953495,ANDW,2003,3,0.008368973497520265,0.05500000000000001,-0.08499999999999996,1
"('2003', 3)",1.6044165738276583,1.6638394098953495,ANDW,2003,3,0.008368973497520265,0.05500000000000001,-0.08499999999999996,1
"('2003', 3)",1.6044165738276583,1.6638394098953495,ANDW,2003,3,0.008368973497520265,0.05500000000000001,-0.08499999999999996,1
"('2003', 3)",1.6044165738276583,1.6638394098953495,ANDW,2003,3,0.008368973497520265,0.05500000000000001,-0.08499999999999996,1
"('2003', 3)",1.6044165738276583,1.6638394098953495,ANDW,2003,3,0.008368973497520265,0.05500000000000001,-0.08499999999999996,1
"('2003', 3)",1.6044165738276583,1.6638394098953495,ANDW,2003,3,0.008368973497520265,0.05500000000000001,-0.08499999999999996,1
"('2004', 1)",,,ANDW,2004,1,0.0,0.14,0.011700000000000044,1
"('2004', 2)",,,ANDW,2004,2,0.0,0.12,-0.15799999999999992,1
"('2005', 3)",0.9999999999999994,1.5,ANDW,2005,3,0.025106920492560757,0.08,-0.009600000000000053,0
"('2005', 3)",0.9999999999999994,1.5,ANDW,2005,3,0.025106920492560757,0.08,-0.009600000000000053,0
"('2005', 3)",0.9999999999999994,1.5,ANDW,2005,3,0.025106920492560757,0.08,-0.009600000000000053,0
"('2005', 3)",0.9999999999999994,1.5,ANDW,2005,3,0.025106920492560757,0.08,-0.009600000000000053,0
"('2006', 0)",2.1213203435596406,2.1213203435596406,ANDW,2006,0,0.0,0.095,0.046699999999999964,1
"('2006', 0)",2.1213203435596406,2.1213203435596406,ANDW,2006,0,0.0,0.095,0.046699999999999964,1
"('1998', 1)",,,BC,1998,1,0.0,0.88,-0.026499999999999968,0
"('1999', 2)",,,BC,1999,2,0.0,0.51,-0.03280000000000005,0
"('1999', 3)",,,BC,1999,3,0.0,0.32,-0.0494,0
